RECscreen_A10_YPD,1,.tif
314	0.9578
301	0.9675
285	0.9514
286	0.9547
186	1
225	0.9595
280	0.9604
244	0.9321
277	0.9247
297	0.9473
251	0.9395
265	0.9722
0	0
0	0
279	0.9758
274	0.9324
272	0.9513
271	0.9478
260	0.9538
283	0.9197
0	0
0	0
227	0.968
0	0
260	0.9538
263	0.9648
254	0.9508
260	0.9538
259	0.9502
225	0.9717
313	0.9548
306	0.9405
299	0.9361
267	0.9524
246	0.9675
249	0.9793
209	0.9519
200	0.962
248	0.9554
257	0.9351
231	0.9763
230	0.9316
209	0.9396
224	0.9762
0	0
0	0
258	0.9465
245	0.9439
243	0.9475
244	0.9596
238	0.9557
228	0.9936
0	0
0	0
180	0.9702
196	0.9741
226	0.9268
240	0.9358
224	0.9468
222	0.9104
233	0.9555
234	0.9478
245	0.9635
316	0.9466
217	0.9372
230	0.9516
236	0.9477
237	0.9719
0	0
0	0
252	0.9512
242	0.9244
228	0.9433
233	0.964
199	0.9795
222	0.9889
251	0.9474
268	0.9373
0	0
142	0.9709
48	1
0	0
230	0.9316
229	0.9679
231	0.9473
231	0.9357
146	0.9355
145	0.9542
232	0.9598
229	0.9679
227	0.9115
219	0.9256
238	0.9441
238	0.936
233	0.9163
253	0.947
280	0.9604
243	0.9283
234	0.9596
236	0.9559
0	0
0	0
236	0.9281
230	0.9236
236	0.9477
228	0.9433
178	0.9932
193	0.9592
254	0.9785
252	0.9433
85	1
10	0.8061
196	0.9741
56	1
227	0.9594
207	0.9428
222	0.93
222	0.9675
174	0.9379
140	0.9316
237	0.9805
233	0.964
225	0.9717
231	0.9557
245	0.9719
267	0.9524
252	0.9433
88	0.968
300	0.9321
252	0.9433
155	0.9427
108	0.9378
217	0.9579
200	0.9403
219	0.9458
211	0.9399
130	0.9395
152	0.9487
222	0.9675
225	0.9595
222	0.9467
246	0.9477
86	1
196	0.9428
223	0.9425
203	0.9544
209	0.9827
211	0.9399
208	0.9562
214	0.9533
199	0.9356
191	0.9718
181	0.943
196	0.9741
227	0.9309
254	0.9703
0	0
0	0
0	0
0	0
238	0.9557
261	0.9575
168	0.9279
158	0.9862
194	0.987
190	0.9667
203	0.9455
181	0.9299
164	0.9381
172	0.95
212	0.9656
225	0.9309
238	0.9557
234	0.9478
218	0.9711
73	0.9936
227	0.9594
192	0.9635
210	0.9874
233	0.9848
199	0.9795
202	0.9587
218	0.9711
215	0.9577
168	0.9511
186	0.9463
235	0.9722
257	0.9428
0	0
0	0
0	0
0	0
7	1
0	0
230	0.9516
253	0.947
202	0.9587
201	0.9761
223	0.9425
193	0.9283
223	0.9425
211	0.961
213	0.9701
211	0.961
0	0
0	0
241	0.9762
157	0.9799
230	0.9721
219	0.9756
185	0.9412
218	0.9711
154	0.9366
163	0.9228
208	0.9266
196	0.9215
217	0.9883
213	0.9488
205	0.9638
246	0.9397
0	0
0	0
0	0
0	0
0	0
158	0.9609
233	0.9438
218	0.95
211	0.97
178	0.9273
194	0.987
204	0.9291
214	0.9242
209	0.9735
203	0.9544
245	0.9439
0	0
0	0
204	0.9291
154	0.9366
233	0.964
218	0.9711
202	0.9497
195	0.9691
151	0.9676
152	0.9487
